bench,day,repo,visibility,attribution,input,output,cache_creation,cache_read,total,turns,sessions_touching,gcs_mirrored_total,gcs_coverage
macbook,2026-08-08,serialize.rs,OSS,remote,55,20834,116546,3343480,3480915,28,2,3480915,full
macbook,2026-08-08,yojimbo,OSS,remote,10,3737,8171,188906,200824,5,1,200824,full
macbook,2026-08-08,PRIVATE,PRIVATE,aggregate,50744,2856617,14563028,495500173,512970562,2343,,512970562,full
macbook,2026-08-09,PRIVATE,PRIVATE,aggregate,12537,901090,7638883,240710205,249262715,827,,249262715,full
macbook,2026-08-10,awesome-persistent-ai,OSS,remote,24,9141,33063,4122982,4165210,12,1,4165210,full
macbook,2026-08-10,netcode.cs,OSS,remote,8,2011,4050,1191776,1197845,4,1,1197845,full
macbook,2026-08-10,nova,OSS,remote,12546,589964,2353480,68348633,71304623,548,3,71304623,full
macbook,2026-08-10,nova-tools,OSS,remote,261,192094,636010,21582159,22410524,132,2,22410524,full
macbook,2026-08-10,PRIVATE,PRIVATE,aggregate,63709,3641400,15111478,737736297,756552884,2906,,756552884,full
macbook,2026-08-11,schema,OSS,remote,290,177002,452366,53090894,53720552,109,1,53720552,full
macbook,2026-08-11,serialize,OSS,remote,9,10895,13375,3320415,3344694,5,1,3344694,full
macbook,2026-08-11,PRIVATE,PRIVATE,aggregate,12904,494317,1880612,140954179,143342012,392,,143342012,full
macbook,2026-08-12,fixed,OSS,remote,4,581,3651,1510589,1514825,2,1,1514825,full
macbook,2026-08-12,fixed3d,OSS,remote,56,36428,787695,20651652,21475831,28,1,21475831,full
macbook,2026-08-12,schema,OSS,remote,904,512759,3178335,127891239,131583237,467,1,131583237,full
macbook,2026-08-12,serialize,OSS,remote,64,35639,694057,22190248,22920008,34,1,22920008,full
macbook,2026-08-12,serialize.go,OSS,remote,12,5342,22621,1236449,1264424,6,1,1264424,full
macbook,2026-08-12,serialize.rs,OSS,remote,2,2730,802,804047,807581,1,1,807581,full
macbook,2026-08-12,PRIVATE,PRIVATE,aggregate,26139,1676275,13545530,862167552,877415496,2183,,877415496,full
macbook,2026-08-13,fixed3d,OSS,remote,28,9255,39345,5505370,5553998,16,1,5553998,full
macbook,2026-08-13,gafferongames/vcpkg,OSS,remote,2,254,1029,65927,67212,1,1,67212,full
macbook,2026-08-13,hydrogen,OSS,remote,2703,58443,195463,2785699,3042308,34,1,3042308,full
macbook,2026-08-13,jedisct1/libhydrogen,OSS,remote,26,14943,17979,1220759,1253707,13,1,1253707,full
macbook,2026-08-13,netcode,OSS,remote,12,12900,7530,464701,485143,6,1,485143,full
macbook,2026-08-13,proton,OSS,remote,12,9107,13868,1813122,1836109,6,1,1836109,full
macbook,2026-08-13,schema,OSS,remote,17676,770661,4337984,149399184,154525505,1334,1,154525505,full
macbook,2026-08-13,serialize,OSS,remote,252,79617,197670,17947561,18225100,126,1,18225100,full
macbook,2026-08-13,serialize.c,OSS,remote,106,52735,102422,5684050,5839313,53,1,5839313,full
macbook,2026-08-13,serialize.cs,OSS,remote,16,3961,9559,1550723,1564259,8,1,1564259,full
